Category\Core Num,1,2,4,6,8,12,16,20,24,28,32
displacement_solve,13.06,9.01,6.77,6.05,5.94,6.07,5.58,5.68,6.44,11.88,15.99
energy_history,4.90e-01,2.25E-01,1.30e-01,1.01E-01,8.33E-02,7.99E-02,8.46E-02,5.89E-02,1.32E-01,2.60E-01,4.47E-01
crack_phase_solve,1.91,9.44E-01,5.94e-01,5.51E-01,4.90E-01,4.19E-01,3.66E-01,3.43E-01,7.29E-01,2.51E+00,3.64
normalize,8.91e-03,6.00E-03,4.30e-03,4.68E-03,4.33E-03,5.39E-03,6.43E-03,6.09E-03,3.05E-02,9.81E-02,2.66E-01
verbose,1.50e-03,1.36E-03,9.49e-04,9.44E-04,1.00E-03,1.32E-03,2.15E-03,2.42E-03,2.70E-02,9.19E-02,2.59E-01
plot,1.49e-03,1.34E-03,9.30e-04,9.21E-04,9.86E-04,1.30E-03,2.12E-03,2.38E-03,2.68E-02,9.19E-02,2.59E-01
update,1.40e-02,1.07E-02,7.90e-03,6.76E-03,6.22E-03,6.69E-03,6.87E-03,6.80E-03,3.34E-02,9.52E-02,2.62E-01
save,1.20e-03,1.03E-03,8.51e-04,1.04E-03,1.28E-03,1.79E-03,2.73E-03,2.67E-03,2.73E-02,9.22E-02,2.63E-01
total,15.31,10.09,7.44,6.66,6.47,6.53,5.97,6.07,7.18,14.28,19.33
